customer_id,monthly_spend,login_frequency,support_tickets,days_inactive,subscription_type,region,is_churned
130,165,1,5,40,Standard,South,1
131,205,18,3,24,Premium,North,1
132,217,16,3,8,Premium,North,0
133,74,6,6,36,Premium,North,1
134,152,6,5,42,Standard,South,1
135,102,1,7,33,Standard,East,1
136,250,20,0,3,Basic,South,0
137,232,15,2,15,Premium,East,0
138,281,13,2,10,Standard,West,0
139,31,1,6,24,Basic,West,1
140,176,8,3,22,Basic,West,1
141,104,2,5,58,Basic,South,1
142,57,2,4,37,Standard,North,1
143,110,3,4,57,Premium,South,1
144,98,7,4,36,Premium,North,1
145,151,8,3,29,Standard,North,1
146,203,15,1,9,Basic,North,0
147,443,28,0,10,Premium,North,0
148,498,24,0,10,Basic,South,0
149,257,21,1,3,Standard,East,0
150,115,3,5,48,Standard,North,1
151,180,17,3,12,Standard,West,0
152,419,23,0,5,Premium,South,0
153,131,17,2,9,Premium,East,0
154,64,9,4,41,Premium,South,0
155,113,1,4,55,Premium,North,1
156,132,3,7,34,Premium,West,1
157,175,13,2,21,Basic,East,1
158,358,27,1,10,Premium,East,0
159,126,10,3,21,Premium,South,1
160,137,17,2,10,Standard,North,0
161,238,12,2,14,Basic,South,0
162,480,23,1,11,Premium,East,0
163,132,11,1,11,Standard,East,0
164,482,19,0,3,Premium,South,0
165,153,15,1,19,Premium,South,0
166,288,12,2,9,Standard,North,0
167,178,13,1,8,Standard,West,0
168,140,13,2,23,Basic,South,0
169,324,25,0,8,Standard,West,0
170,50,8,7,55,Basic,West,1
171,255,19,1,11,Premium,North,0
172,98,6,3,49,Premium,West,1
173,81,9,4,34,Premium,South,1
174,275,20,0,11,Standard,West,0
175,273,13,3,8,Basic,South,1
176,259,8,2,21,Premium,West,0
177,156,18,3,11,Premium,East,0
178,22,1,4,29,Standard,North,1
179,257,19,2,20,Premium,East,0
180,333,18,0,4,Basic,West,0
181,258,28,0,7,Premium,North,0
182,412,18,0,11,Basic,South,1
183,97,5,5,28,Basic,East,1
184,154,8,2,15,Standard,South,0
185,478,29,1,2,Basic,North,0
186,254,20,0,9,Standard,West,0
187,208,17,1,15,Standard,North,0
188,223,10,1,13,Basic,North,0
189,182,8,1,24,Premium,North,1
190,72,8,5,58,Standard,North,1
191,153,3,5,27,Basic,East,1
192,134,8,2,14,Premium,West,0
193,276,13,1,8,Premium,South,0
194,274,14,1,11,Basic,East,0
195,129,12,3,17,Standard,West,0
196,287,21,0,7,Basic,West,0
197,264,25,0,3,Basic,North,0
198,149,3,5,55,Basic,West,1
199,292,28,0,3,Basic,South,0
200,93,8,4,31,Basic,West,1
201,123,2,3,52,Standard,South,1
202,179,18,1,12,Basic,North,0
203,225,8,3,16,Standard,South,0
204,278,25,0,5,Standard,South,0
205,250,22,0,9,Standard,West,0
206,76,1,5,59,Premium,West,1
207,294,16,1,16,Basic,South,0
208,76,5,4,54,Standard,East,1
209,144,17,3,13,Standard,West,0
210,459,28,1,10,Premium,South,0
211,290,18,3,14,Basic,South,0
212,107,1,3,48,Basic,West,1
213,399,27,1,1,Premium,West,0
214,200,11,1,24,Basic,North,1
215,335,29,0,7,Basic,East,0
216,250,24,0,10,Premium,West,0
217,181,8,1,23,Premium,North,0
218,137,8,2,22,Basic,North,1
219,232,9,2,13,Basic,East,0
220,381,18,1,6,Basic,North,1
221,281,27,1,2,Basic,North,0
222,243,8,3,14,Premium,West,0
223,84,9,5,43,Premium,North,1
224,191,13,1,22,Basic,West,1
225,170,8,3,15,Standard,North,0
226,345,25,1,7,Standard,South,0
227,163,4,6,56,Basic,North,1
228,391,24,1,1,Premium,South,0
229,26,1,7,38,Basic,East,1
230,266,11,1,9,Basic,South,1
231,167,2,5,42,Standard,South,1
232,269,22,0,5,Basic,West,0
233,256,9,1,19,Premium,South,0
234,205,19,1,17,Standard,West,0
235,308,24,1,0,Premium,North,0
236,33,9,4,44,Basic,West,1
237,141,18,2,11,Standard,North,0
238,278,19,0,4,Basic,South,0
239,165,5,4,55,Premium,North,1
240,153,8,1,13,Basic,West,1
241,336,22,1,5,Standard,North,0
242,306,23,0,7,Standard,West,0
243,486,26,0,6,Standard,East,0
244,394,27,0,11,Standard,West,0
245,65,2,6,20,Premium,West,0
246,285,20,1,4,Premium,South,0
247,30,4,3,58,Basic,North,1
248,73,2,7,52,Premium,North,1
249,488,21,0,2,Basic,North,1
250,100,2,3,45,Basic,West,1
251,92,9,3,20,Standard,South,0
252,420,25,1,8,Premium,East,0
253,250,9,1,19,Standard,East,0
254,471,23,1,11,Basic,West,0
255,63,1,7,36,Standard,East,1
256,74,1,6,35,Premium,West,1
257,127,12,1,12,Premium,North,0
258,44,2,3,31,Premium,East,1
259,173,9,7,45,Basic,East,1
260,29,7,3,42,Standard,South,1
261,205,17,3,21,Premium,South,0
262,126,16,3,23,Premium,North,0
263,178,14,1,14,Standard,South,0
264,222,8,2,10,Premium,North,0
265,64,2,5,56,Standard,South,1
266,227,14,3,24,Premium,North,0
267,172,2,3,35,Basic,North,1
268,357,19,0,2,Basic,West,1
269,277,18,3,20,Premium,North,0
270,279,10,3,14,Standard,North,0
271,148,8,1,19,Basic,East,0
272,240,17,2,14,Basic,West,0
273,184,8,3,20,Basic,East,0
274,277,9,2,12,Basic,East,0
275,192,8,1,11,Premium,North,0
276,156,12,3,13,Standard,South,1
277,182,15,3,20,Basic,South,1
278,171,11,3,15,Standard,South,1
279,82,6,7,29,Basic,North,1
280,306,27,0,0,Premium,North,0
281,369,23,0,4,Standard,North,0
282,28,3,6,54,Basic,South,1
283,81,1,5,51,Premium,North,1
284,32,8,7,44,Basic,South,1
285,391,22,1,10,Basic,North,1
286,86,9,5,44,Basic,East,1
287,28,8,3,24,Standard,West,1
288,143,6,5,24,Basic,West,1
289,265,13,1,23,Standard,South,1
290,446,18,1,7,Basic,North,1
291,181,10,2,10,Basic,South,0
292,117,8,5,32,Premium,South,0
293,125,15,3,23,Basic,West,1
294,216,18,3,23,Basic,North,1
295,356,26,0,9,Standard,East,0
296,174,6,6,26,Standard,West,1
297,164,17,1,17,Basic,West,0
298,226,12,2,14,Premium,South,0
299,219,9,2,20,Basic,South,0
300,288,19,1,10,Standard,North,1
301,266,25,0,1,Premium,South,0
302,337,20,1,5,Standard,East,0
303,193,16,2,22,Premium,West,1
304,470,23,1,3,Standard,West,0
305,87,1,6,41,Standard,East,1
306,237,8,2,21,Basic,West,1
307,278,29,1,10,Standard,North,0
308,244,19,3,18,Standard,West,1
309,360,20,0,9,Basic,West,0
310,475,19,0,3,Premium,South,0
311,160,9,7,48,Premium,West,1
312,51,2,6,41,Basic,South,1
313,200,19,1,22,Basic,East,1
314,203,13,3,12,Basic,West,1
315,120,17,2,22,Standard,North,1
316,412,18,0,7,Basic,North,0
317,34,8,6,44,Premium,South,1
318,172,15,3,21,Basic,West,1
319,250,19,1,10,Premium,North,0
320,264,26,1,6,Standard,West,0
321,203,11,1,13,Premium,East,0
322,437,23,1,4,Premium,East,0
323,207,15,3,20,Standard,South,0
324,140,9,2,21,Standard,West,1
325,51,9,3,57,Standard,West,1
326,130,13,3,16,Premium,East,0
327,370,23,1,11,Premium,West,0
328,179,2,6,52,Premium,West,1
329,282,26,0,0,Basic,South,1
330,173,6,4,57,Standard,North,1
331,141,2,4,59,Premium,East,1
332,444,28,1,8,Basic,West,1
333,122,9,4,31,Standard,West,1
334,297,19,2,22,Basic,North,1
335,126,18,2,10,Standard,North,0
336,225,18,2,19,Standard,South,0
337,160,9,7,38,Premium,West,1
338,219,15,1,19,Standard,East,0
339,395,20,1,4,Basic,West,1
340,124,3,6,29,Standard,North,1
341,438,23,0,0,Standard,North,0
342,168,12,3,12,Premium,North,0
343,227,11,2,24,Basic,North,1
344,124,4,4,53,Basic,North,1
345,85,2,6,25,Premium,South,1
346,134,6,7,31,Basic,North,1
347,37,8,7,34,Premium,South,1
348,275,25,1,6,Basic,East,0
349,263,19,0,4,Premium,South,0
350,60,6,6,33,Premium,North,1
351,203,9,3,13,Standard,West,0
352,338,26,1,1,Basic,East,1
353,24,1,6,55,Premium,North,1
354,166,18,2,10,Standard,East,0
355,199,17,1,17,Basic,South,0
356,124,1,7,39,Standard,West,1
357,120,16,2,18,Premium,North,0
358,284,8,1,19,Premium,West,0
359,130,6,6,39,Basic,East,1
360,379,26,0,4,Basic,South,1
361,278,18,0,2,Premium,East,0
362,78,5,3,33,Standard,East,1
363,269,22,1,7,Premium,South,0
364,145,2,3,48,Standard,East,1
365,472,25,0,10,Premium,North,0
366,421,23,1,6,Basic,South,0
367,164,11,2,17,Standard,South,0
368,27,2,7,20,Basic,East,1
369,176,6,7,41,Basic,West,1
370,174,14,2,18,Standard,North,0
371,363,19,0,9,Standard,South,0
372,481,18,1,10,Premium,West,0
373,165,11,1,8,Basic,South,0
374,161,5,7,45,Basic,East,1
375,182,16,1,16,Basic,West,1
376,262,26,0,8,Basic,North,0
377,217,13,2,11,Standard,North,0
378,101,9,5,30,Standard,North,1
379,73,7,3,40,Standard,East,1
380,95,7,7,38,Basic,West,1
381,68,1,5,57,Premium,North,1
382,348,25,1,9,Premium,North,0
383,258,20,0,9,Standard,North,1
384,175,5,7,45,Premium,East,1
385,382,19,1,4,Standard,North,0
386,134,18,3,13,Basic,East,1
387,127,5,5,35,Standard,West,1
388,143,9,6,30,Basic,East,1
389,187,12,1,9,Premium,West,0
390,236,11,2,22,Standard,West,0
391,385,27,1,1,Standard,West,0
392,326,21,1,8,Standard,West,0
393,26,7,7,50,Premium,East,1
394,305,18,1,9,Premium,West,0
395,103,4,3,32,Standard,West,1
396,367,22,1,11,Basic,East,0
397,258,27,1,9,Basic,South,0
398,419,25,1,0,Basic,North,0
399,156,11,2,11,Premium,North,0
400,108,2,5,55,Premium,North,1
401,88,1,5,53,Premium,East,1
402,268,8,2,23,Standard,South,0
403,412,29,0,10,Premium,East,0
404,327,26,1,8,Premium,South,1
405,284,24,0,1,Standard,North,0
406,237,14,1,24,Premium,East,0
407,43,3,6,45,Premium,West,1
408,281,24,0,3,Basic,West,0
409,116,4,5,28,Premium,North,1
410,372,23,0,6,Standard,West,0
411,298,29,1,11,Basic,South,0
412,46,5,4,22,Premium,East,1
413,374,27,0,5,Standard,West,0
414,291,9,2,24,Basic,South,1
415,49,4,6,55,Standard,South,1
416,50,9,4,49,Premium,South,1
417,393,29,0,11,Premium,North,1
418,22,7,6,59,Premium,East,1
419,123,8,6,20,Basic,East,1
420,268,11,2,15,Basic,South,0
421,35,6,6,53,Premium,South,1
422,285,18,0,1,Premium,West,0
423,354,22,1,10,Basic,South,0
424,442,28,0,3,Standard,South,0
425,273,11,2,13,Standard,South,0
426,420,23,1,4,Basic,North,0
427,131,8,2,13,Premium,East,0
428,154,15,2,21,Standard,North,1
429,329,24,1,8,Premium,South,0
430,412,19,0,1,Standard,East,0
431,139,9,2,9,Standard,North,0
432,73,1,6,50,Basic,West,1
433,129,6,7,22,Premium,West,1
434,153,9,7,53,Basic,North,1
435,44,4,7,31,Basic,West,1
436,345,29,0,3,Basic,South,0
437,309,23,1,10,Premium,West,0
438,309,24,0,2,Standard,North,0
439,411,27,0,1,Standard,South,0
440,178,8,3,42,Premium,West,0
441,348,22,0,11,Premium,North,0
442,134,7,6,52,Standard,South,1
443,352,25,0,4,Premium,North,0
444,301,21,1,11,Basic,North,1
445,427,22,1,2,Basic,South,0
446,341,23,1,6,Standard,West,0
447,105,5,4,46,Standard,East,1
448,98,5,4,42,Premium,North,1
449,152,1,7,40,Premium,East,1
450,101,5,7,51,Premium,East,1
451,476,18,1,10,Standard,South,0
452,171,14,1,11,Standard,West,0
453,361,29,1,7,Premium,East,0
454,176,6,4,40,Standard,East,1
455,132,9,3,28,Basic,West,1
456,249,19,1,8,Basic,West,1
457,177,19,1,18,Premium,North,0
458,127,18,2,15,Premium,East,0
459,164,7,7,38,Basic,West,1
460,106,5,7,27,Premium,East,1
461,292,18,0,2,Basic,North,0
462,401,18,0,3,Premium,West,0
463,307,21,0,3,Standard,North,0
464,384,20,1,2,Standard,East,0
465,124,12,2,15,Premium,West,0
466,57,1,3,28,Premium,East,1
467,297,10,1,11,Standard,North,0
468,197,16,1,17,Basic,South,0
469,259,18,2,20,Standard,East,0
470,214,19,2,18,Basic,West,0
471,36,8,4,28,Basic,South,1
472,78,9,4,41,Premium,East,1
473,291,10,2,24,Premium,West,0
474,476,27,1,6,Premium,East,0
475,31,9,4,40,Premium,West,1
476,268,15,2,15,Standard,South,0
477,270,19,3,18,Premium,South,0
478,341,19,1,4,Standard,West,0
479,276,19,0,2,Standard,West,0
480,293,23,0,4,Basic,North,0
481,122,13,3,14,Premium,West,0
482,144,12,3,15,Standard,East,0
483,163,8,3,24,Premium,North,1
484,381,25,0,9,Standard,North,0
485,29,5,5,46,Standard,West,1
486,231,16,2,17,Premium,East,0
487,73,1,3,53,Basic,South,1
488,39,3,5,56,Standard,North,1
489,230,11,2,10,Standard,East,0
490,73,8,7,29,Basic,East,1
491,253,29,0,3,Basic,West,0
492,90,4,7,33,Standard,East,1
493,99,7,6,23,Basic,North,1
494,143,9,2,24,Standard,West,1
495,269,15,1,19,Standard,North,0
496,136,4,5,55,Basic,South,1
497,362,24,0,1,Basic,East,0
498,362,28,1,10,Standard,South,0
499,76,6,7,52,Basic,South,1
500,253,21,1,10,Basic,East,0
501,66,7,3,45,Standard,East,1
502,80,2,5,32,Basic,South,1
503,343,23,0,5,Premium,South,0
504,128,3,7,38,Basic,North,1
505,295,27,0,4,Basic,South,1
506,284,11,1,17,Standard,South,1
507,219,13,2,11,Basic,West,0
508,158,9,3,8,Standard,West,0
509,349,23,0,5,Basic,West,0
510,127,9,6,43,Standard,West,1
511,462,25,1,9,Basic,East,0
512,154,3,6,33,Premium,North,1
513,329,23,0,9,Standard,South,0
514,189,19,1,20,Basic,North,1
515,356,21,1,9,Premium,West,0
516,40,4,4,52,Standard,South,1
517,189,9,3,22,Standard,East,1
518,168,8,3,56,Basic,South,1
519,101,5,5,42,Premium,South,1
520,68,3,5,44,Premium,South,1
521,259,16,1,16,Standard,North,0
522,366,21,0,9,Basic,East,0
523,105,7,3,36,Basic,South,1
524,180,9,2,18,Premium,East,0
525,205,8,1,9,Premium,West,0
526,447,19,0,9,Basic,North,0
527,251,23,1,8,Basic,East,0
528,117,3,7,58,Standard,East,1
529,107,8,6,29,Standard,South,1
530,82,1,7,39,Premium,South,1
531,317,21,1,7,Premium,South,0
532,328,23,1,11,Basic,East,0
533,144,9,4,47,Basic,West,1
534,440,19,0,7,Premium,South,0
535,163,8,2,10,Premium,East,0
536,42,9,5,38,Premium,South,1
537,130,15,2,15,Premium,West,0
538,60,4,7,40,Standard,South,1
539,156,8,4,39,Standard,South,1
540,249,14,3,20,Basic,West,1
541,133,8,3,47,Basic,East,1
542,127,12,3,12,Standard,West,0
543,129,6,5,51,Standard,North,1
544,388,24,1,0,Basic,North,0
545,238,12,1,20,Basic,South,0
546,175,6,4,50,Standard,West,1
547,247,18,1,10,Basic,West,0
548,144,11,2,12,Basic,East,1
549,28,4,4,25,Premium,West,1
550,421,26,0,1,Standard,East,0
551,357,26,0,7,Basic,North,0
552,380,29,1,9,Standard,East,0
553,405,25,1,0,Premium,West,0
554,429,19,0,2,Basic,East,0
555,77,9,3,24,Premium,West,1
556,343,28,0,0,Standard,East,0
557,35,2,4,54,Standard,East,1
558,175,7,3,39,Premium,West,1
559,449,24,0,2,Standard,North,0
560,402,23,0,4,Basic,East,0
561,236,12,2,21,Premium,North,1
562,264,14,1,10,Premium,North,0
563,234,8,2,9,Basic,East,0
564,287,21,0,7,Standard,North,0
565,166,4,3,44,Basic,North,1
566,133,17,2,23,Premium,West,1
567,229,10,3,17,Basic,South,1
568,47,4,7,26,Basic,North,1
569,192,18,3,22,Premium,South,0
570,239,13,1,11,Standard,North,0
571,149,16,1,21,Standard,East,1
572,197,16,3,11,Basic,North,1
573,121,16,1,21,Premium,East,0
574,369,24,1,0,Basic,North,0
575,31,3,5,40,Premium,East,1
576,188,11,1,10,Standard,South,0
577,256,11,3,24,Premium,South,0
578,184,15,1,22,Basic,South,0
579,95,9,5,45,Basic,South,1
580,269,15,1,13,Premium,East,0
581,406,20,1,6,Standard,North,0
582,47,4,6,22,Basic,West,1
583,281,18,3,16,Standard,North,0
584,106,6,3,37,Standard,East,1
585,261,23,1,10,Basic,South,0
586,143,1,3,48,Premium,North,1
587,118,8,5,39,Basic,South,1
588,260,13,1,21,Premium,North,0
589,155,4,6,52,Basic,South,1
590,334,22,0,9,Premium,East,0
591,245,16,1,12,Basic,East,0
592,36,8,7,58,Premium,West,1
593,158,18,2,18,Basic,South,0
594,165,8,3,19,Standard,East,1
595,228,19,1,23,Premium,East,0
596,209,14,2,12,Standard,West,0
597,110,7,7,42,Premium,North,1
598,203,9,2,9,Standard,North,0
599,280,11,2,12,Standard,East,0
600,175,8,6,52,Standard,South,1
601,492,26,0,1,Standard,North,0
602,354,27,1,2,Basic,South,0
603,259,19,0,5,Standard,North,0
604,288,29,0,3,Standard,East,0
605,236,9,1,13,Basic,North,1
606,113,8,4,36,Premium,West,1
607,131,10,3,8,Basic,South,0
608,220,12,2,24,Premium,North,0
609,272,14,1,13,Basic,South,1
610,226,9,3,20,Premium,West,0
611,241,19,2,10,Premium,North,0
612,421,26,0,6,Basic,West,0
613,167,17,3,11,Premium,West,0
614,271,14,2,12,Standard,East,0
615,75,1,3,39,Standard,North,1
616,451,29,1,11,Premium,West,0
617,145,1,3,57,Premium,West,1
618,255,9,2,8,Premium,West,0
619,232,9,1,10,Premium,North,0
620,123,17,3,21,Premium,North,0
621,170,9,2,22,Premium,East,0
622,141,5,4,56,Basic,East,1
623,153,4,4,28,Standard,North,1
624,96,4,3,51,Basic,South,1
625,87,5,7,32,Standard,North,1
626,105,5,5,42,Standard,West,1
627,161,9,1,24,Standard,North,0
628,146,5,6,30,Standard,East,1
629,492,18,1,7,Standard,East,1
630,160,2,5,55,Basic,West,1
631,136,10,2,15,Premium,West,0
632,271,17,3,12,Basic,North,1
633,257,29,0,0,Standard,South,0
634,367,20,0,10,Basic,West,1
635,30,6,7,31,Basic,East,1
636,495,28,0,11,Basic,South,0
637,39,9,4,31,Standard,East,1
638,364,20,1,11,Standard,North,0
639,215,13,3,11,Basic,West,0
640,410,25,0,10,Basic,West,0
641,498,20,1,0,Premium,South,0
642,101,3,6,26,Standard,South,1
643,297,26,1,3,Premium,East,0
644,200,8,1,15,Basic,East,0
645,157,10,3,12,Premium,West,0
646,150,14,2,18,Basic,East,1
647,387,27,1,4,Standard,West,0
648,288,15,3,22,Standard,South,1
649,363,25,1,0,Basic,West,0
650,279,24,0,0,Standard,South,0
651,286,18,0,4,Basic,North,0
652,385,22,1,8,Premium,East,0
653,54,2,3,53,Basic,East,1
654,147,4,5,54,Basic,East,1
655,261,19,1,20,Basic,South,0
656,64,3,5,57,Standard,East,1
657,287,8,3,9,Basic,South,1
658,263,13,2,9,Basic,East,0
659,433,29,1,6,Standard,West,0
660,464,25,1,6,Standard,West,0
661,470,24,0,6,Basic,West,0
662,177,5,7,40,Basic,East,1
663,38,9,3,41,Premium,South,1
664,142,17,2,11,Premium,South,0
665,301,21,1,1,Premium,South,0
666,405,21,0,7,Standard,North,0
667,49,4,7,42,Premium,East,1
668,131,14,3,21,Premium,West,1
669,217,18,1,19,Premium,North,0
670,212,17,2,13,Premium,East,0
671,337,19,1,8,Premium,West,0
672,140,9,3,38,Basic,North,1
673,119,2,5,32,Basic,North,1
674,131,8,6,56,Basic,East,1
675,464,27,0,0,Premium,East,0
676,466,25,0,9,Premium,East,0
677,168,5,3,43,Basic,North,1
678,136,11,3,16,Basic,West,0
679,460,20,1,4,Premium,West,0
680,120,6,6,54,Standard,South,1
681,395,20,1,8,Premium,South,0
682,132,9,1,20,Standard,South,0
683,379,26,0,5,Basic,East,0
684,219,14,1,20,Premium,East,0
685,127,14,2,10,Basic,North,0
686,485,29,0,11,Standard,East,0
687,84,4,7,54,Standard,West,1
688,68,6,4,29,Standard,South,0
689,284,13,2,24,Standard,South,0
690,387,20,0,2,Premium,South,0
691,36,6,6,43,Basic,South,1
692,272,11,2,13,Basic,South,0
693,138,1,6,31,Standard,East,1
694,153,7,7,44,Standard,North,1
695,126,11,1,19,Standard,South,0
696,162,12,1,14,Basic,South,1
697,70,9,5,27,Basic,North,1
698,164,13,3,11,Premium,West,0
699,276,16,1,9,Premium,North,0
700,198,19,3,19,Premium,East,0
701,339,25,0,6,Standard,South,0
702,215,11,2,18,Premium,South,0
703,47,6,3,36,Premium,South,1
704,125,9,4,44,Premium,East,1
705,294,20,0,4,Premium,East,0
706,317,29,0,10,Premium,North,0
707,294,11,2,22,Basic,South,0
708,423,19,1,0,Basic,North,1
709,103,4,3,30,Premium,East,0
710,410,19,1,10,Standard,North,0
711,473,27,0,4,Standard,South,0
712,181,13,2,21,Premium,North,0
713,160,3,7,27,Standard,East,1
714,127,1,3,30,Standard,North,1
715,30,6,3,35,Premium,East,1
716,67,8,5,45,Premium,South,1
717,195,18,1,13,Standard,South,0
718,173,6,6,48,Premium,East,1
719,347,18,0,10,Standard,South,0
720,281,14,1,17,Basic,West,0
721,215,11,3,8,Basic,East,0
722,330,28,1,7,Basic,West,0
723,342,23,1,8,Basic,North,1
724,285,22,1,11,Premium,East,0
725,420,22,1,9,Premium,North,0
726,85,7,5,41,Basic,South,1
727,240,10,1,20,Premium,West,0
728,258,23,1,6,Basic,South,1
729,492,18,1,8,Standard,North,0
730,86,4,6,49,Standard,East,1
731,232,14,3,21,Premium,East,0
732,135,4,7,46,Basic,West,1
733,442,19,0,9,Premium,East,0
734,267,11,3,17,Basic,North,1
735,60,9,7,20,Premium,North,0
736,347,25,0,8,Premium,North,0
737,446,28,1,2,Premium,South,0
738,195,17,3,20,Standard,West,0
739,166,14,3,15,Standard,North,0
740,251,14,2,22,Premium,South,0
741,128,8,3,38,Premium,East,1
742,165,19,2,11,Standard,South,0
743,148,3,5,59,Basic,South,1
744,43,8,4,23,Premium,East,0
745,135,7,7,24,Basic,South,1
746,430,26,0,8,Standard,North,0
747,319,22,0,9,Standard,North,0
748,352,23,0,3,Basic,East,0
749,428,23,0,3,Premium,North,0
750,287,20,0,3,Premium,West,0
751,160,7,4,49,Standard,West,1
752,144,18,3,21,Premium,North,0
753,489,28,0,5,Basic,West,0
754,135,15,2,15,Premium,South,0
755,178,14,3,17,Premium,East,0
756,281,16,1,18,Premium,West,0
757,36,4,6,44,Standard,East,1
758,120,6,3,20,Standard,South,1
759,300,21,0,8,Premium,North,0
760,123,7,5,25,Basic,North,1
761,400,27,0,8,Basic,West,0
762,288,16,1,13,Standard,East,0
763,301,22,0,0,Standard,East,0
764,95,7,3,36,Basic,North,1
765,134,11,2,24,Standard,West,0
766,135,3,4,52,Premium,East,1
767,251,15,3,13,Premium,South,0
768,296,15,3,8,Standard,West,0
769,329,23,1,2,Standard,South,1
770,99,9,6,50,Premium,South,1
771,170,2,5,56,Premium,South,1
772,455,25,0,2,Basic,North,1
773,102,3,4,35,Standard,West,1
